event_ts,event_id,event_type,account_name,region,kind,severity,text
2025-09-22T11:22:00,EV500043,support_ticket,Orbit Retail,West,quality,2,Two cartons in SO176179 arrived damaged. Requesting replacement.
2025-09-23T15:56:00,EV500044,support_ticket,Kalpana Traders,North,billing,3,Purchase order number missing from the invoice for SO131658.
2025-09-23T18:40:00,EV500045,support_ticket,Bluewater Co,South,billing,2,Purchase order number missing from the invoice for SO157992.
2025-09-23T12:32:00,EV500046,support_ticket,Bluewater Co,South,billing,3,Invoice against SO159122 shows the old rate. Please issue a correction.
2025-09-24T09:31:00,EV500047,support_ticket,Kalpana Traders,North,billing,2,Invoice against SO194794 shows the old rate. Please issue a correction.
2025-09-24T13:17:00,EV500048,support_ticket,Sterling Industries,West,billing,1,Invoice against SO144235 shows the old rate. Please issue a correction.
2025-09-24T11:00:00,EV500049,crm_note,Kalpana Traders,North,account_review,2,Reviewed the product roadmap with the account team.
2025-09-24T11:00:00,EV500050,crm_note,Deccan Supply,South,account_review,2,Reviewed the product roadmap with the account team.
2025-09-24T11:00:00,EV500051,crm_note,Bluewater Co,South,account_review,2,Reviewed the product roadmap with the account team.
2025-09-24T11:00:00,EV500052,crm_note,Ganges Distributors,East,account_review,2,Reviewed the product roadmap with the account team.
2025-09-24T11:00:00,EV500053,crm_note,Ironwood Ltd,East,account_review,2,Quarterly catch up. No issues raised.
2025-09-24T11:00:00,EV500054,crm_note,Acme Corp,West,account_review,2,Reviewed the product roadmap with the account team.
2025-09-24T11:00:00,EV500055,crm_note,Sterling Industries,West,account_review,2,Discussed upcoming volumes. Outlook broadly stable.
2025-09-24T11:00:00,EV500056,crm_note,Orbit Retail,West,account_review,2,Discussed upcoming volumes. Outlook broadly stable.
2025-09-26T14:29:00,EV500057,support_ticket,Meridian Group,North,delivery_delay,2,We were not notified that SO190089 would be late. Please escalate.
2025-09-26T09:15:00,EV500058,support_ticket,Kalpana Traders,North,delivery_delay,2,We were not notified that SO160906 would be late. Please escalate.
2025-09-27T08:18:00,EV500059,support_ticket,Kalpana Traders,North,billing,3,Invoice against SO157930 shows the old rate. Please issue a correction.
2025-09-29T12:30:00,EV500060,support_ticket,Meridian Group,North,delivery_delay,3,Third late delivery this month against order SO107974. This is becoming a problem.
2025-09-29T13:18:00,EV500061,support_ticket,Acme Corp,West,billing,2,Invoice against SO143535 shows the old rate. Please issue a correction.
2025-09-30T09:29:00,EV500062,support_ticket,Kalpana Traders,North,billing,1,Purchase order number missing from the invoice for SO116468.
2025-10-01T11:00:00,EV500063,crm_note,Kalpana Traders,North,account_review,2,Reviewed the product roadmap with the account team.
2025-10-01T11:00:00,EV500064,crm_note,Bluewater Co,South,account_review,2,Discussed upcoming volumes. Outlook broadly stable.
2025-10-01T11:00:00,EV500065,crm_note,Ironwood Ltd,East,account_review,2,Quarterly catch up. No issues raised.
2025-10-01T11:00:00,EV500066,crm_note,Acme Corp,West,account_review,2,Discussed upcoming volumes. Outlook broadly stable.
2025-10-01T11:00:00,EV500067,crm_note,Sterling Industries,West,account_review,2,Reviewed the product roadmap with the account team.
2025-10-01T11:00:00,EV500068,crm_note,Vayu Logistics,West,account_review,2,Quarterly catch up. No issues raised.
2025-10-03T14:23:00,EV500069,support_ticket,Kalpana Traders,North,quality,3,Packaging on SO198771 was torn on arrival.
2025-10-03T12:50:00,EV500070,support_ticket,Deccan Supply,South,delivery_delay,3,Third late delivery this month against order SO111164. This is becoming a problem.
2025-10-04T16:26:00,EV500071,support_ticket,Ironwood Ltd,East,delivery_delay,3,Delivery for SO152184 slipped again. Our production line was held up waiting for it.
2025-10-04T08:48:00,EV500072,support_ticket,Orbit Retail,West,billing,2,Invoice against SO135154 shows the old rate. Please issue a correction.
2025-10-05T12:21:00,EV500073,support_ticket,Bluewater Co,South,billing,1,Invoice against SO159629 shows the old rate. Please issue a correction.
2025-10-06T17:28:00,EV500074,support_ticket,Ganges Distributors,East,quality,2,Packaging on SO124755 was torn on arrival.
2025-10-07T10:28:00,EV500075,support_ticket,Bluewater Co,South,quality,3,Packaging on SO122331 was torn on arrival.
2025-10-08T16:33:00,EV500076,support_ticket,Orbit Retail,West,billing,1,Invoice against SO142375 shows the old rate. Please issue a correction.
2025-10-08T11:00:00,EV500077,crm_note,Meridian Group,North,account_review,2,Discussed upcoming volumes. Outlook broadly stable.
2025-10-08T11:00:00,EV500078,crm_note,Deccan Supply,South,account_review,2,Quarterly catch up. No issues raised.
2025-10-08T11:00:00,EV500079,crm_note,Sterling Industries,West,account_review,2,Reviewed the product roadmap with the account team.
2025-10-10T18:56:00,EV500080,support_ticket,Bluewater Co,South,billing,2,Purchase order number missing from the invoice for SO133054.
2025-10-10T11:38:00,EV500081,support_ticket,Ganges Distributors,East,delivery_delay,2,Delivery for SO183521 slipped again. Our production line was held up waiting for it.
2025-10-11T16:50:00,EV500082,support_ticket,Ganges Distributors,East,delivery_delay,1,Third late delivery this month against order SO119433. This is becoming a problem.
2025-10-11T09:12:00,EV500083,support_ticket,Ganges Distributors,East,delivery_delay,1,Third late delivery this month against order SO147272. This is becoming a problem.
2025-10-11T17:21:00,EV500084,support_ticket,Ganges Distributors,East,delivery_delay,2,We were not notified that SO161505 would be late. Please escalate.
2025-10-12T08:35:00,EV500085,support_ticket,Deccan Supply,South,delivery_delay,2,Third late delivery this month against order SO143975. This is becoming a problem.
2025-10-13T09:31:00,EV500086,support_ticket,Meridian Group,North,quality,1,Packaging on SO107238 was torn on arrival.
2025-10-13T09:26:00,EV500087,support_ticket,Meridian Group,North,quality,3,Packaging on SO106838 was torn on arrival.
2025-10-13T08:08:00,EV500088,support_ticket,Orbit Retail,West,billing,1,Purchase order number missing from the invoice for SO106845.
2025-10-15T13:58:00,EV500089,support_ticket,Deccan Supply,South,billing,3,Purchase order number missing from the invoice for SO156515.
2025-10-15T11:00:00,EV500090,crm_note,Acme Corp,West,account_review,2,Reviewed the product roadmap with the account team.
2025-10-16T08:18:00,EV500091,support_ticket,Sterling Industries,West,delivery_delay,2,Third late delivery this month against order SO184370. This is becoming a problem.
2025-10-16T10:12:00,EV500092,support_ticket,Sterling Industries,West,quality,3,Two cartons in SO199443 arrived damaged. Requesting replacement.
2025-10-16T15:30:00,EV500093,support_ticket,Orbit Retail,West,delivery_delay,1,Third late delivery this month against order SO138265. This is becoming a problem.
2025-10-18T12:56:00,EV500094,support_ticket,Meridian Group,North,billing,1,Invoice against SO112532 shows the old rate. Please issue a correction.
2025-10-19T08:07:00,EV500095,support_ticket,Sterling Industries,West,delivery_delay,2,We were not notified that SO168229 would be late. Please escalate.
2025-10-20T16:51:00,EV500096,support_ticket,Meridian Group,North,billing,2,Purchase order number missing from the invoice for SO143547.
2025-10-22T11:00:00,EV500097,crm_note,Bluewater Co,South,account_review,2,Quarterly catch up. No issues raised.
2025-10-22T11:00:00,EV500098,crm_note,Ironwood Ltd,East,account_review,2,Discussed upcoming volumes. Outlook broadly stable.
2025-10-22T11:00:00,EV500099,crm_note,Acme Corp,West,account_review,2,Discussed upcoming volumes. Outlook broadly stable.
2025-10-22T11:00:00,EV500100,crm_note,Vayu Logistics,West,account_review,2,Quarterly catch up. No issues raised.
2025-10-22T11:00:00,EV500101,crm_note,Orbit Retail,West,account_review,2,Quarterly catch up. No issues raised.
2025-10-23T17:35:00,EV500102,support_ticket,Deccan Supply,South,billing,1,Invoice against SO128896 shows the old rate. Please issue a correction.
2025-10-23T09:33:00,EV500103,support_ticket,Ganges Distributors,East,billing,3,Purchase order number missing from the invoice for SO135201.
2025-10-23T13:56:00,EV500104,support_ticket,Sterling Industries,West,billing,2,Invoice against SO173878 shows the old rate. Please issue a correction.
2025-10-24T17:10:00,EV500105,support_ticket,Bluewater Co,South,billing,2,Invoice against SO153749 shows the old rate. Please issue a correction.
2025-10-24T08:08:00,EV500106,support_ticket,Ironwood Ltd,East,billing,3,Invoice against SO152231 shows the old rate. Please issue a correction.
2025-10-25T16:56:00,EV500107,support_ticket,Ganges Distributors,East,quality,1,Two cartons in SO144838 arrived damaged. Requesting replacement.
2025-10-25T18:46:00,EV500108,support_ticket,Ironwood Ltd,East,delivery_delay,3,Delivery for SO164709 slipped again. Our production line was held up waiting for it.
2025-10-25T18:05:00,EV500109,support_ticket,Acme Corp,West,quality,2,Two cartons in SO103235 arrived damaged. Requesting replacement.
2025-10-25T11:50:00,EV500110,support_ticket,Sterling Industries,West,quality,3,Two cartons in SO102187 arrived damaged. Requesting replacement.
2025-10-26T18:20:00,EV500111,support_ticket,Bluewater Co,South,quality,3,Packaging on SO198715 was torn on arrival.
2025-10-26T12:44:00,EV500112,support_ticket,Ganges Distributors,East,delivery_delay,1,Delivery for SO151829 slipped again. Our production line was held up waiting for it.
2025-10-27T08:15:00,EV500113,support_ticket,Sterling Industries,West,delivery_delay,1,Consignment SO197915 was promised on 2025-10-25 and has still not arrived at our depot.
2025-10-27T16:46:00,EV500114,support_ticket,Vayu Logistics,West,delivery_delay,2,Delivery for SO186272 slipped again. Our production line was held up waiting for it.
2025-10-28T13:38:00,EV500115,support_ticket,Acme Corp,West,billing,1,Purchase order number missing from the invoice for SO130052.
2025-10-29T10:29:00,EV500116,support_ticket,Meridian Group,North,billing,3,Invoice against SO184658 shows the old rate. Please issue a correction.
2025-10-29T11:00:00,EV500117,crm_note,Meridian Group,North,account_review,2,Quarterly catch up. No issues raised.
2025-10-29T11:00:00,EV500118,crm_note,Ironwood Ltd,East,account_review,2,Reviewed the product roadmap with the account team.
2025-10-29T11:00:00,EV500119,crm_note,Sterling Industries,West,account_review,2,Quarterly catch up. No issues raised.
2025-10-29T11:00:00,EV500120,crm_note,Vayu Logistics,West,account_review,2,Discussed upcoming volumes. Outlook broadly stable.
2025-10-30T11:04:00,EV500121,support_ticket,Meridian Group,North,quality,3,Packaging on SO187834 was torn on arrival.
2025-10-30T10:20:00,EV500122,support_ticket,Deccan Supply,South,quality,3,Two cartons in SO180695 arrived damaged. Requesting replacement.
2025-10-30T08:42:00,EV500123,support_ticket,Deccan Supply,South,billing,2,Invoice against SO180527 shows the old rate. Please issue a correction.
2025-10-30T13:29:00,EV500124,support_ticket,Ironwood Ltd,East,delivery_delay,2,Consignment SO101276 was promised on 2025-10-24 and has still not arrived at our depot.
2025-11-01T12:55:00,EV500125,support_ticket,Deccan Supply,South,billing,3,Invoice against SO156030 shows the old rate. Please issue a correction.
2025-11-01T09:54:00,EV500126,support_ticket,Sterling Industries,West,billing,2,Invoice against SO118799 shows the old rate. Please issue a correction.
2025-11-03T16:35:00,EV500127,support_ticket,Deccan Supply,South,billing,1,Invoice against SO105936 shows the old rate. Please issue a correction.
2025-11-03T08:20:00,EV500128,support_ticket,Bluewater Co,South,quality,1,Two cartons in SO163313 arrived damaged. Requesting replacement.
2025-11-03T09:55:00,EV500129,support_ticket,Vayu Logistics,West,billing,3,Purchase order number missing from the invoice for SO161268.
2025-11-03T11:28:00,EV500130,support_ticket,Vayu Logistics,West,billing,1,Invoice against SO120510 shows the old rate. Please issue a correction.
2025-11-04T12:32:00,EV500131,support_ticket,Bluewater Co,South,delivery_delay,1,Consignment SO199408 was promised on 2025-10-28 and has still not arrived at our depot.
2025-11-04T18:19:00,EV500132,support_ticket,Ironwood Ltd,East,delivery_delay,1,Delivery for SO190682 slipped again. Our production line was held up waiting for it.
2025-11-04T12:33:00,EV500133,support_ticket,Acme Corp,West,delivery_delay,2,Third late delivery this month against order SO187993. This is becoming a problem.
2025-11-04T16:15:00,EV500134,support_ticket,Orbit Retail,West,billing,1,Invoice against SO166007 shows the old rate. Please issue a correction.
2025-11-05T17:33:00,EV500135,support_ticket,Deccan Supply,South,quality,2,Two cartons in SO167376 arrived damaged. Requesting replacement.
2025-11-05T12:37:00,EV500136,support_ticket,Sterling Industries,West,billing,1,Purchase order number missing from the invoice for SO168095.
2025-11-05T17:15:00,EV500137,support_ticket,Vayu Logistics,West,quality,2,Packaging on SO138269 was torn on arrival.
2025-11-05T11:00:00,EV500138,crm_note,Meridian Group,North,account_review,2,Reviewed the product roadmap with the account team.
2025-11-05T11:00:00,EV500139,crm_note,Ganges Distributors,East,account_review,2,Reviewed the product roadmap with the account team.
2025-11-05T11:00:00,EV500140,crm_note,Ironwood Ltd,East,account_review,2,Reviewed the product roadmap with the account team.
2025-11-05T11:00:00,EV500141,crm_note,Orbit Retail,West,account_review,2,Quarterly catch up. No issues raised.
2025-11-06T13:00:00,EV500142,support_ticket,Meridian Group,North,delivery_delay,1,Consignment SO162505 was promised on 2025-11-01 and has still not arrived at our depot.
2025-11-06T13:08:00,EV500143,support_ticket,Kalpana Traders,North,billing,2,Invoice against SO138876 shows the old rate. Please issue a correction.
2025-11-06T15:56:00,EV500144,support_ticket,Deccan Supply,South,billing,1,Invoice against SO103992 shows the old rate. Please issue a correction.
2025-11-06T16:40:00,EV500145,support_ticket,Bluewater Co,South,delivery_delay,3,Third late delivery this month against order SO185894. This is becoming a problem.
2025-11-06T17:27:00,EV500146,support_ticket,Ganges Distributors,East,quality,3,Two cartons in SO127604 arrived damaged. Requesting replacement.
2025-11-06T15:29:00,EV500147,support_ticket,Acme Corp,West,delivery_delay,3,Delivery for SO150290 slipped again. Our production line was held up waiting for it.
2025-11-07T13:12:00,EV500148,support_ticket,Ironwood Ltd,East,delivery_delay,1,Delivery for SO112512 slipped again. Our production line was held up waiting for it.
2025-11-07T11:08:00,EV500149,support_ticket,Acme Corp,West,delivery_delay,1,We were not notified that SO122120 would be late. Please escalate.
2025-11-08T15:01:00,EV500150,support_ticket,Orbit Retail,West,delivery_delay,2,Third late delivery this month against order SO141790. This is becoming a problem.
2025-11-08T14:53:00,EV500151,support_ticket,Orbit Retail,West,delivery_delay,3,Consignment SO171546 was promised on 2025-11-04 and has still not arrived at our depot.
2025-11-09T18:54:00,EV500152,support_ticket,Kalpana Traders,North,billing,1,Invoice against SO144177 shows the old rate. Please issue a correction.
2025-11-09T12:13:00,EV500153,support_ticket,Ironwood Ltd,East,delivery_delay,3,We were not notified that SO164195 would be late. Please escalate.
2025-11-09T18:54:00,EV500154,support_ticket,Sterling Industries,West,quality,2,Two cartons in SO100575 arrived damaged. Requesting replacement.
2025-11-10T17:22:00,EV500155,support_ticket,Bluewater Co,South,quality,3,Two cartons in SO135133 arrived damaged. Requesting replacement.
2025-11-11T08:51:00,EV500156,support_ticket,Ironwood Ltd,East,billing,2,Invoice against SO156303 shows the old rate. Please issue a correction.
2025-11-12T17:29:00,EV500157,support_ticket,Bluewater Co,South,billing,1,Purchase order number missing from the invoice for SO140211.
2025-11-12T11:00:00,EV500158,crm_note,Bluewater Co,South,account_review,2,Quarterly catch up. No issues raised.
2025-11-12T11:00:00,EV500159,crm_note,Acme Corp,West,account_review,2,Discussed upcoming volumes. Outlook broadly stable.
2025-11-12T11:00:00,EV500160,crm_note,Orbit Retail,West,account_review,2,Reviewed the product roadmap with the account team.
2025-11-13T10:53:00,EV500161,support_ticket,Ganges Distributors,East,quality,1,Two cartons in SO192164 arrived damaged. Requesting replacement.
2025-11-13T08:30:00,EV500162,support_ticket,Sterling Industries,West,quality,2,Packaging on SO171232 was torn on arrival.
2025-11-15T17:20:00,EV500163,support_ticket,Meridian Group,North,quality,2,Two cartons in SO192411 arrived damaged. Requesting replacement.
2025-11-15T08:05:00,EV500164,support_ticket,Meridian Group,North,billing,2,Invoice against SO155745 shows the old rate. Please issue a correction.
2025-11-15T13:12:00,EV500165,support_ticket,Bluewater Co,South,delivery_delay,2,Third late delivery this month against order SO129007. This is becoming a problem.
2025-11-15T18:42:00,EV500166,support_ticket,Ganges Distributors,East,delivery_delay,3,We were not notified that SO194753 would be late. Please escalate.
2025-11-16T08:53:00,EV500167,support_ticket,Bluewater Co,South,delivery_delay,1,Consignment SO197680 was promised on 2025-11-10 and has still not arrived at our depot.
2025-11-17T13:32:00,EV500168,support_ticket,Deccan Supply,South,delivery_delay,3,Consignment SO109732 was promised on 2025-11-09 and has still not arrived at our depot.
2025-11-17T18:58:00,EV500169,support_ticket,Sterling Industries,West,billing,2,Purchase order number missing from the invoice for SO199723.
2025-11-17T11:47:00,EV500170,support_ticket,Sterling Industries,West,delivery_delay,2,Third late delivery this month against order SO166567. This is becoming a problem.
2025-11-18T12:24:00,EV500171,support_ticket,Vayu Logistics,West,quality,3,Two cartons in SO124303 arrived damaged. Requesting replacement.
2025-11-18T10:40:00,EV500172,support_ticket,Orbit Retail,West,billing,2,Invoice against SO180502 shows the old rate. Please issue a correction.
2025-11-18T14:14:00,EV500173,support_ticket,Orbit Retail,West,delivery_delay,2,We were not notified that SO123218 would be late. Please escalate.
2025-11-19T11:00:00,EV500174,crm_note,Kalpana Traders,North,account_review,2,Quarterly catch up. No issues raised.
2025-11-19T11:00:00,EV500175,crm_note,Deccan Supply,South,account_review,2,Discussed upcoming volumes. Outlook broadly stable.
2025-11-19T11:00:00,EV500176,crm_note,Bluewater Co,South,account_review,2,Quarterly catch up. No issues raised.
2025-11-19T11:00:00,EV500177,crm_note,Ganges Distributors,East,account_review,2,Discussed upcoming volumes. Outlook broadly stable.
2025-11-19T11:00:00,EV500178,crm_note,Ironwood Ltd,East,account_review,2,Discussed upcoming volumes. Outlook broadly stable.
2025-11-19T11:00:00,EV500179,crm_note,Acme Corp,West,account_review,2,Discussed upcoming volumes. Outlook broadly stable.
2025-11-19T11:00:00,EV500180,crm_note,Sterling Industries,West,account_review,2,Quarterly catch up. No issues raised.
2025-11-19T11:00:00,EV500181,crm_note,Vayu Logistics,West,account_review,2,Reviewed the product roadmap with the account team.
2025-11-19T11:00:00,EV500182,crm_note,Orbit Retail,West,account_review,2,Discussed upcoming volumes. Outlook broadly stable.
2025-11-20T12:11:00,EV500183,support_ticket,Deccan Supply,South,quality,1,Two cartons in SO174864 arrived damaged. Requesting replacement.
2025-11-20T18:09:00,EV500184,support_ticket,Acme Corp,West,quality,2,Packaging on SO110439 was torn on arrival.
2025-11-21T11:41:00,EV500185,support_ticket,Kalpana Traders,North,billing,2,Purchase order number missing from the invoice for SO135011.
2025-11-21T10:35:00,EV500186,support_ticket,Kalpana Traders,North,delivery_delay,1,Consignment SO123358 was promised on 2025-11-15 and has still not arrived at our depot.
2025-11-21T17:25:00,EV500187,support_ticket,Orbit Retail,West,quality,3,Packaging on SO165072 was torn on arrival.
2025-11-22T08:14:00,EV500188,support_ticket,Deccan Supply,South,billing,2,Invoice against SO190728 shows the old rate. Please issue a correction.
2025-11-23T10:10:00,EV500189,support_ticket,Kalpana Traders,North,billing,2,Invoice against SO198087 shows the old rate. Please issue a correction.
2025-11-23T18:47:00,EV500190,support_ticket,Ganges Distributors,East,delivery_delay,2,Consignment SO193310 was promised on 2025-11-20 and has still not arrived at our depot.
2025-11-23T17:18:00,EV500191,support_ticket,Ganges Distributors,East,delivery_delay,1,Delivery for SO155128 slipped again. Our production line was held up waiting for it.
2025-11-24T13:52:00,EV500192,support_ticket,Kalpana Traders,North,billing,1,Invoice against SO120167 shows the old rate. Please issue a correction.
2025-11-24T16:58:00,EV500193,support_ticket,Deccan Supply,South,quality,2,Packaging on SO192173 was torn on arrival.
2025-11-24T12:39:00,EV500194,support_ticket,Bluewater Co,South,quality,1,Two cartons in SO125239 arrived damaged. Requesting replacement.
2025-11-26T09:15:00,EV500195,support_ticket,Kalpana Traders,North,quality,3,Packaging on SO126031 was torn on arrival.
2025-11-26T08:09:00,EV500196,support_ticket,Acme Corp,West,delivery_delay,2,Third late delivery this month against order SO181404. This is becoming a problem.
2025-11-26T17:42:00,EV500197,support_ticket,Sterling Industries,West,delivery_delay,3,Third late delivery this month against order SO165799. This is becoming a problem.
2025-11-26T11:00:00,EV500198,crm_note,Meridian Group,North,account_review,2,Discussed upcoming volumes. Outlook broadly stable.
2025-11-26T11:00:00,EV500199,crm_note,Kalpana Traders,North,account_review,2,Discussed upcoming volumes. Outlook broadly stable.
2025-11-26T11:00:00,EV500200,crm_note,Bluewater Co,South,account_review,2,Quarterly catch up. No issues raised.
2025-11-26T11:00:00,EV500201,crm_note,Ironwood Ltd,East,account_review,2,Discussed upcoming volumes. Outlook broadly stable.
2025-11-26T11:00:00,EV500202,crm_note,Acme Corp,West,account_review,2,Reviewed the product roadmap with the account team.
2025-11-26T11:00:00,EV500203,crm_note,Vayu Logistics,West,account_review,2,Quarterly catch up. No issues raised.
2025-11-27T18:40:00,EV500204,support_ticket,Kalpana Traders,North,quality,1,Packaging on SO196739 was torn on arrival.
2025-11-27T14:31:00,EV500205,support_ticket,Vayu Logistics,West,quality,3,Packaging on SO122154 was torn on arrival.
2025-11-28T15:07:00,EV500206,support_ticket,Vayu Logistics,West,quality,3,Two cartons in SO111276 arrived damaged. Requesting replacement.
2025-11-28T10:17:00,EV500207,support_ticket,Vayu Logistics,West,quality,2,Two cartons in SO180470 arrived damaged. Requesting replacement.
2025-12-01T11:28:00,EV500208,support_ticket,Meridian Group,North,quality,3,Packaging on SO164693 was torn on arrival.
2025-12-03T08:32:00,EV500209,support_ticket,Deccan Supply,South,billing,2,Invoice against SO198972 shows the old rate. Please issue a correction.
2025-12-03T16:25:00,EV500210,support_ticket,Orbit Retail,West,billing,2,Purchase order number missing from the invoice for SO142410.
2025-12-03T11:00:00,EV500211,crm_note,Deccan Supply,South,account_review,2,Discussed upcoming volumes. Outlook broadly stable.
2025-12-03T11:00:00,EV500212,crm_note,Ganges Distributors,East,account_review,2,Quarterly catch up. No issues raised.
2025-12-03T11:00:00,EV500213,crm_note,Ironwood Ltd,East,account_review,2,Quarterly catch up. No issues raised.
2025-12-03T11:00:00,EV500214,crm_note,Acme Corp,West,account_review,2,Discussed upcoming volumes. Outlook broadly stable.
2025-12-03T11:00:00,EV500215,crm_note,Sterling Industries,West,account_review,2,Quarterly catch up. No issues raised.
2025-12-03T11:00:00,EV500216,crm_note,Orbit Retail,West,account_review,2,Discussed upcoming volumes. Outlook broadly stable.
2025-12-04T08:34:00,EV500217,support_ticket,Kalpana Traders,North,delivery_delay,2,Third late delivery this month against order SO168153. This is becoming a problem.
2025-12-04T17:36:00,EV500218,support_ticket,Deccan Supply,South,delivery_delay,1,Consignment SO192131 was promised on 2025-11-30 and has still not arrived at our depot.
2025-12-04T11:35:00,EV500219,support_ticket,Deccan Supply,South,billing,3,Purchase order number missing from the invoice for SO130630.
2025-12-05T18:15:00,EV500220,support_ticket,Deccan Supply,South,delivery_delay,3,Third late delivery this month against order SO128985. This is becoming a problem.
